Model,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²,MAPE %
Linear Regression,0.05406396354886303,0.055899650561813785,0.04236846440973126,0.0438751135165903,0.8603199638821843,0.8561824835337205,7.971610900423408
Ridge,0.05406420912509756,0.05591033360925107,0.04237078809909486,0.043876737175734856,0.860318694934332,0.8561275080142755,7.973846625295968
Lasso,0.05789673754163419,0.059462356241265335,0.04583442144925542,0.045546569865995624,0.8398131874970969,0.8372661768220118,8.382842301154287
ElasticNet,0.055413963250365135,0.056894014191877416,0.04366561309998915,0.04406825259757461,0.8532571329169967,0.8510204177198388,8.065707257202934
KNN,0.06385216704277807,0.08557406378663326,0.05153901551854671,0.06878823972998138,0.8051637071439599,0.6629627429338922,12.752639615786407
Decision Tree,0.010988191774532818,0.08645135691163426,0.0057651545540644625,0.06727415130818562,0.9942300634639675,0.6560168041205021,11.807159469616634
SVR,0.0575659107280783,0.07026770974935093,0.047623250698463584,0.05389118288943154,0.84163859903677,0.7727493175362664,10.079633496007546
Random Forest,0.022940129299611305,0.06134299728352239,0.01782946732321781,0.04701126284103729,0.9748516035419496,0.8268096925384814,8.504897967492404
Gradient Boosting,0.019084842683268648,0.06212232152856548,0.015034840128976393,0.0479299684273565,0.9825941296529273,0.8223811913211927,8.618830554893634
AdaBoost,0.062371455273420605,0.0697830819897207,0.05052866540343496,0.054070522500842794,0.8140953169739303,0.7758731479872768,9.864395965421842
Linear Regression,0.05406396354886303,0.055899650561813785,0.04236846440973126,0.0438751135165903,0.8603199638821843,0.8561824835337205,7.971610900423408
Ridge,0.05406420912509756,0.05591033360925107,0.04237078809909486,0.043876737175734856,0.860318694934332,0.8561275080142755,7.973846625295968
Lasso,0.05789673754163419,0.059462356241265335,0.04583442144925542,0.045546569865995624,0.8398131874970969,0.8372661768220118,8.382842301154287
ElasticNet,0.055413963250365135,0.056894014191877416,0.04366561309998915,0.04406825259757461,0.8532571329169967,0.8510204177198388,8.065707257202934
KNN,0.06385216704277807,0.08557406378663326,0.05153901551854671,0.06878823972998138,0.8051637071439599,0.6629627429338922,12.752639615786407
Decision Tree,0.010988191774532818,0.08645135691163426,0.0057651545540644625,0.06727415130818562,0.9942300634639675,0.6560168041205021,11.807159469616634
SVR,0.0575659107280783,0.07026770974935093,0.047623250698463584,0.05389118288943154,0.84163859903677,0.7727493175362664,10.079633496007546
Random Forest,0.022940129299611308,0.06134299728352239,0.01782946732321781,0.047011262841037293,0.9748516035419496,0.8268096925384814,8.504897967492404
Gradient Boosting,0.019084842683268648,0.06212232152856548,0.015034840128976393,0.0479299684273565,0.9825941296529273,0.8223811913211927,8.618830554893634
AdaBoost,0.062371455273420605,0.0697830819897207,0.05052866540343496,0.054070522500842794,0.8140953169739303,0.7758731479872768,9.864395965421842
